Temp,Mag_mean,Mag_sd,abs_Mag_mean,abs_Mag_sd,Mag_exact,E_N_mean,E_N_sd
1.6497,-0.974681,0.000836399,0.974681,0.000836399,0.975265,-3.82588,0.00512339
1.65424,-0.976618,0.00101357,0.976618,0.00101357,0.974831,-3.83588,0.00646818
1.65877,-0.975123,0.000932958,0.975123,0.000932958,0.97439,-3.82843,0.00585526
1.66331,-0.975441,0.00102171,0.975441,0.00102171,0.973943,-3.83255,0.00577583
1.66785,-0.974314,0.000947981,0.974314,0.000947981,0.97349,-3.82255,0.0059001
1.67239,-0.974265,0.00131785,0.974265,0.00131785,0.973029,-3.82373,0.0080499
1.67693,-0.964216,0.00130091,0.964216,0.00130091,0.972562,-3.78382,0.00564747
1.68147,-0.974853,0.000974332,0.974853,0.000974332,0.972088,-3.82333,0.00624133
1.686,-0.972206,0.000907882,0.972206,0.000907882,0.971607,-3.81363,0.00571733
1.69054,-0.97451,0.000849653,0.97451,0.000849653,0.971119,-3.82039,0.00564444
1.69508,-0.972598,0.000801227,0.972598,0.000801227,0.970623,-3.81078,0.00483933
1.69962,-0.971593,0.000978994,0.971593,0.000978994,0.97012,-3.80294,0.00659794
1.70416,-0.971789,0.000962059,0.971789,0.000962059,0.96961,-3.80833,0.00591884
1.7087,-0.971103,0.001238,0.971103,0.001238,0.969092,-3.80275,0.00721696
1.71323,-0.966176,0.0012624,0.966176,0.0012624,0.968567,-3.77657,0.00649659
1.71777,-0.966618,0.00139119,0.966618,0.00139119,0.968033,-3.78186,0.00703487
1.72231,-0.965564,0.0010256,0.965564,0.0010256,0.967492,-3.77118,0.00549971
1.72685,-0.967672,0.00134037,0.967672,0.00134037,0.966942,-3.7801,0.00761512
1.73139,-0.969534,0.00133025,0.969534,0.00133025,0.966385,-3.78931,0.00797302
1.73593,-0.967745,0.00120661,0.967745,0.00120661,0.965819,-3.77931,0.00732846
1.74047,-0.967549,0.00124851,0.967549,0.00124851,0.965245,-3.77794,0.00755655
1.745,-0.965637,0.00121135,0.965637,0.00121135,0.964662,-3.77147,0.00675378
1.74954,-0.9625,0.00131498,0.9625,0.00131498,0.96407,-3.74892,0.00749943
1.75408,-0.967598,0.00119376,0.967598,0.00119376,0.963469,-3.7751,0.00705509
1.75862,-0.967475,0.000797123,0.967475,0.000797123,0.96286,-3.77549,0.00498086
1.76316,-0.962696,0.00138239,0.962696,0.00138239,0.962241,-3.74451,0.00840548
1.7677,-0.958995,0.00121572,0.958995,0.00121572,0.961613,-3.74412,0.00618142
1.77223,-0.964314,0.00146625,0.964314,0.00146625,0.960975,-3.75912,0.00790099
1.77677,-0.962304,0.00159556,0.962304,0.00159556,0.960328,-3.74833,0.00934383
1.78131,-0.964681,0.00137192,0.964681,0.00137192,0.959671,-3.76098,0.00795825
1.78585,-0.962623,0.001078,0.962623,0.001078,0.959003,-3.75137,0.00647935
1.79039,-0.961078,0.00142372,0.961078,0.00142372,0.958326,-3.73882,0.0082576
1.79493,-0.952794,0.00128031,0.952794,0.00128031,0.957638,-3.70284,0.00618387
1.79946,-0.955343,0.00144298,0.955343,0.00144298,0.95694,-3.70765,0.00683611
1.804,-0.955,0.00111474,0.955,0.00111474,0.956231,-3.70647,0.00709639
1.80854,-0.958676,0.00100086,0.958676,0.00100086,0.955511,-3.72961,0.00524842
1.81308,-0.954804,0.00145326,0.954804,0.00145326,0.95478,-3.7152,0.0065499
1.81762,-0.948382,0.00200162,0.948382,0.00200162,0.954038,-3.6799,0.00946354
1.82216,-0.956103,0.00180164,0.956103,0.00180164,0.953284,-3.70765,0.010334
1.82669,-0.951471,0.00141884,0.951471,0.00141884,0.952518,-3.68627,0.00772422
1.83123,-0.956716,0.00106755,0.956716,0.00106755,0.95174,-3.70833,0.00632094
1.83577,-0.945466,0.00257604,0.945466,0.00257604,0.95095,-3.66882,0.0113229
1.84031,-0.956299,0.00159232,0.956299,0.00159232,0.950148,-3.70598,0.00905974
1.84485,-0.950784,0.00144123,0.950784,0.00144123,0.949332,-3.68137,0.00734324
1.84939,-0.943627,0.00160356,0.943627,0.00160356,0.948504,-3.64804,0.00829609
1.85392,-0.95277,0.00171688,0.95277,0.00171688,0.947663,-3.6852,0.00969431
1.85846,-0.945294,0.00176693,0.945294,0.00176693,0.946808,-3.65422,0.00869006
1.863,-0.944338,0.00139517,0.944338,0.00139517,0.945939,-3.65824,0.00694633
1.86754,-0.93701,0.00322788,0.93701,0.00322788,0.945056,-3.63735,0.0134327
1.87208,-0.937059,0.00229898,0.937059,0.00229898,0.944159,-3.61235,0.0122765
1.87662,-0.948039,0.0016848,0.948039,0.0016848,0.943247,-3.66431,0.00904674
1.88115,-0.946422,0.00169414,0.946422,0.00169414,0.94232,-3.66059,0.0090007
1.88569,-0.945809,0.00150238,0.945809,0.00150238,0.941378,-3.65127,0.00760655
1.89023,-0.941471,0.0013723,0.941471,0.0013723,0.94042,-3.63,0.00785531
1.89477,-0.938775,0.00133738,0.938775,0.00133738,0.939446,-3.61039,0.00676184
1.89931,-0.944044,0.00160101,0.944044,0.00160101,0.938456,-3.64098,0.00941944
1.90385,-0.932721,0.00240906,0.932721,0.00240906,0.937449,-3.5801,0.0113867
1.90838,-0.932525,0.00201784,0.932525,0.00201784,0.936425,-3.60412,0.00969304
1.91292,-0.941495,0.00181633,0.941495,0.00181633,0.935383,-3.63059,0.0104306
1.91746,-0.943725,0.00159406,0.943725,0.00159406,0.934324,-3.62559,0.00922023
1.922,-0.939657,0.00207874,0.939657,0.00207874,0.933246,-3.61333,0.0106031
1.92654,-0.942721,0.00179927,0.942721,0.00179927,0.932149,-3.62627,0.00956079
1.93108,-0.93777,0.00142857,0.93777,0.00142857,0.931033,-3.6149,0.00783843
1.93562,-0.934926,0.00182554,0.934926,0.00182554,0.929897,-3.59382,0.00924353
1.94015,-0.933603,0.00200418,0.933603,0.00200418,0.928741,-3.59245,0.00959613
1.94469,-0.922034,0.00235823,0.922034,0.00235823,0.927564,-3.54412,0.0113903
1.94923,-0.922549,0.0022886,0.922549,0.0022886,0.926366,-3.56294,0.00942065
1.95377,-0.926887,0.00233719,0.926887,0.00233719,0.925145,-3.55833,0.0112987
1.95831,-0.933897,0.00209827,0.933897,0.00209827,0.923903,-3.59225,0.00954896
1.96285,-0.928873,0.00173885,0.928873,0.00173885,0.922637,-3.56422,0.00908497
1.96738,-0.928039,0.00179161,0.928039,0.00179161,0.921348,-3.5501,0.009057
1.97192,-0.918186,0.00260004,0.918186,0.00260004,0.920034,-3.52049,0.0105023
1.97646,-0.923137,0.00282959,0.923137,0.00282959,0.918695,-3.54304,0.0104629
1.981,-0.910074,0.00331652,0.910074,0.00331652,0.91733,-3.49569,0.0123217
1.98554,-0.910515,0.00195481,0.910515,0.00195481,0.915939,-3.49373,0.0085896
1.99008,-0.913603,0.00187268,0.913603,0.00187268,0.914521,-3.48245,0.0090936
1.99461,-0.911936,0.00250595,0.911936,0.00250595,0.913074,-3.49686,0.0112118
1.99915,-0.924559,0.00245918,0.924559,0.00245918,0.911598,-3.54108,0.0109842
2.00369,-0.915931,0.00254394,0.915931,0.00254394,0.910093,-3.49775,0.0110341
2.00823,-0.905294,0.00199987,0.905294,0.00199987,0.908556,-3.46088,0.00947308
2.01277,-0.90527,0.0027716,0.90527,0.0027716,0.906988,-3.4502,0.0125768
