Sweep,Mag,E_N,Beta,Temp
4,-0.355,0.7175,0.25,4
5,-0.24625,0.66,0.25,4
6,-0.19375,0.5425,0.25,4
7,-0.18,0.58,0.25,4
8,-0.1175,0.4575,0.25,4
9,-0.03875,0.535,0.25,4
10,-0.03375,0.6525,0.25,4
0,-1,2,0.25,4
1,-0.74625,1.235,0.25,4
2,-0.54625,0.92,0.25,4
3,-0.39,0.7125,0.25,4
4,-0.25625,0.5875,0.25,4
5,-0.1775,0.5825,0.25,4
6,-0.1275,0.5375,0.25,4
7,-0.06875,0.495,0.25,4
8,-0.03625,0.4775,0.25,4
9,-0.02625,0.4975,0.25,4
10,0.00625,0.545,0.25,4
0,-1,2,0.25,4
1,-0.73875,1.255,0.25,4
2,-0.55,0.91,0.25,4
3,-0.445,0.7775,0.25,4
4,-0.32875,0.66,0.25,4
5,-0.2075,0.5425,0.25,4
6,-0.1375,0.59,0.25,4
7,-0.11125,0.575,0.25,4
8,-0.1025,0.545,0.25,4
9,-0.14,0.56,0.25,4
10,-0.09375,0.5375,0.25,4
0,-1,2,0.25,4
1,-0.7375,1.25,0.25,4
2,-0.54625,0.86,0.25,4
3,-0.41375,0.7075,0.25,4
4,-0.37125,0.75,0.25,4
5,-0.23625,0.635,0.25,4
6,-0.21,0.63,0.25,4
7,-0.1525,0.585,0.25,4
8,-0.145,0.6575,0.25,4
9,-0.15625,0.6225,0.25,4
10,-0.1375,0.57,0.25,4
0,-1,2,0.25,4
1,-0.73125,1.215,0.25,4
2,-0.59375,0.915,0.25,4
3,-0.43875,0.7475,0.25,4
4,-0.32625,0.66,0.25,4
5,-0.26625,0.62,0.25,4
6,-0.23125,0.57,0.25,4
7,-0.135,0.6225,0.25,4
8,-0.0975,0.5825,0.25,4
9,-0.05875,0.5775,0.25,4
10,-0.0275,0.5975,0.25,4
0,-1,2,0.25,4
1,-0.78625,1.3325,0.25,4
2,-0.59375,0.935,0.25,4
3,-0.4575,0.825,0.25,4
4,-0.31,0.6225,0.25,4
5,-0.18875,0.5025,0.25,4
6,-0.12625,0.465,0.25,4
7,-0.09625,0.5425,0.25,4
