Sweep,0.2m,0.2e,0.25m,0.25e,0.3m,0.3e,0.35m,0.35e,0.4m,0.4e,0.45m,0.45e,0.5m,0.5e,0.6m,0.6e,0.7m,0.7e
89,0.0043,-0.8654,-0.006175,-1.0902,-0.023925,-1.4194,0.0014,-1.7644,-0.300475,-2.2487,-0.7729,-3.0558,-0.9163,-3.5069,-0.974825,-3.8232,-0.9915,-1.9684
90,0.00635,-0.8644,-0.012425,-1.0857,-0.024175,-1.3961,0.002925,-1.764,-0.294825,-2.2426,-0.767725,-3.0365,-0.91505,-3.5009,-0.97375,-3.8208,-0.9899,-1.96275
91,0.003475,-0.8737,-0.006975,-1.0873,-0.026675,-1.416,0.0059,-1.7565,-0.28815,-2.2409,-0.768975,-3.0357,-0.914825,-3.5022,-0.9737,-3.8186,-0.990525,-1.9651
92,0.007,-0.8526,-0.0108,-1.1045,-0.025925,-1.4091,0.01115,-1.7663,-0.28745,-2.2465,-0.7691,-3.0435,-0.911775,-3.4865,-0.9742,-3.8238,-0.990975,-1.96705
93,0.011625,-0.8534,0.00115,-1.1056,-0.026425,-1.4102,0.010575,-1.7417,-0.28525,-2.2373,-0.769575,-3.041,-0.91215,-3.4922,-0.973725,-3.8191,-0.990475,-1.9653
94,0.001675,-0.8719,-0.00955,-1.107,-0.023225,-1.4206,0.012475,-1.7623,-0.286075,-2.2473,-0.769725,-3.0425,-0.913675,-3.4942,-0.9744,-3.8229,-0.990275,-1.9637
95,-0.00145,-0.8623,0.001175,-1.1086,-0.015475,-1.4012,0.010525,-1.7756,-0.287425,-2.2483,-0.767475,-3.0358,-0.914975,-3.5088,-0.97465,-3.8244,-0.989575,-1.96205
96,-0.0004,-0.8431,0.002775,-1.1167,-0.0087,-1.4059,0.01225,-1.7749,-0.282175,-2.2612,-0.76795,-3.0416,-0.912075,-3.4892,-0.9753,-3.8262,-0.989625,-1.96205
97,0.00245,-0.8571,-0.00775,-1.1376,0.00075,-1.4109,0.0137,-1.7854,-0.27925,-2.2419,-0.76695,-3.0375,-0.9128,-3.4948,-0.973325,-3.8156,-0.989925,-1.9627
98,0.008325,-0.8504,-0.013125,-1.1178,-0.003325,-1.3938,0.00785,-1.7708,-0.27915,-2.2501,-0.7666,-3.0387,-0.9107,-3.4838,-0.974075,-3.8191,-0.9898,-1.96245
99,0.0113,-0.8595,-0.01265,-1.1172,0.007125,-1.3917,0.004425,-1.7736,-0.2816,-2.2451,-0.7675,-3.0514,-0.911525,-3.4794,-0.972575,-3.813,-0.9901,-1.96295
100,0.01385,-0.8643,-0.007975,-1.1059,-0.000325,-1.4063,0.001825,-1.7751,-0.282,-2.2507,-0.767575,-3.0522,-0.915325,-3.5065,-0.9733,-3.8175,-0.990975,-1.9661
101,0.013075,-0.8728,-0.013225,-1.1181,0.005075,-1.419,-0.00825,-1.7631,-0.28175,-2.2441,-0.76745,-3.0434,-0.915025,-3.5037,-0.9735,-3.8184,-0.9902,-1.96325
102,0.00685,-0.8796,-0.0206,-1.0928,0.00275,-1.4205,0.0002,-1.7753,-0.2768,-2.2354,-0.7682,-3.049,-0.915525,-3.5083,-0.97355,-3.8136,-0.990025,-1.9628
103,0.001125,-0.8762,-0.01315,-1.0889,0.0044,-1.4116,-0.0019,-1.762,-0.279275,-2.2387,-0.7728,-3.0619,-0.915375,-3.5062,-0.972425,-3.8068,-0.990025,-1.9634
104,-0.0035,-0.8687,-0.0002,-1.1125,0.00625,-1.4119,-0.00495,-1.7483,-0.278925,-2.2517,-0.775975,-3.0652,-0.914675,-3.4993,-0.97425,-3.8227,-0.9895,-1.96225
105,-0.004075,-0.8565,-0.00475,-1.1211,0.006675,-1.4156,-0.009775,-1.7533,-0.272225,-2.2497,-0.77855,-3.071,-0.91085,-3.4763,-0.973225,-3.8173,-0.988975,-1.9598
106,-0.009025,-0.8796,0.000875,-1.1171,0.002775,-1.408,-0.01215,-1.7329,-0.272825,-2.2518,-0.775675,-3.0702,-0.909225,-3.4701,-0.973575,-3.8157,-0.990275,-1.96435
107,-0.00555,-0.8854,-0.011775,-1.1161,0.001325,-1.4073,-0.016525,-1.7502,-0.2756,-2.2576,-0.774525,-3.0638,-0.911425,-3.4885,-0.97275,-3.8113,-0.989325,-1.96085
108,-0.00315,-0.8575,-0.001375,-1.1257,0.00765,-1.427,-0.015525,-1.7484,-0.275925,-2.2479,-0.775875,-3.0538,-0.907925,-3.4814,-0.9724,-3.8089,-0.990075,-1.96365
109,-0.005625,-0.8505,0.001575,-1.1148,0.00865,-1.427,-0.024175,-1.7471,-0.269525,-2.256,-0.7747,-3.0613,-0.9083,-3.4856,-0.97195,-3.8099,-0.990225,-1.96365
110,-0.008125,-0.852,0.0093,-1.0971,-0.000375,-1.4217,-0.02715,-1.7577,-0.267575,-2.2646,-0.7731,-3.0695,-0.909025,-3.4841,-0.972,-3.8091,-0.988975,-1.9595
111,-0.006275,-0.8645,0.0014,-1.1293,0.002725,-1.4349,-0.026975,-1.7445,-0.27225,-2.252,-0.772725,-3.0658,-0.90645,-3.4712,-0.973125,-3.8168,-0.98975,-1.96225
112,-0.00335,-0.8539,0.004375,-1.1333,-0.009475,-1.4279,-0.020925,-1.7274,-0.27365,-2.2657,-0.7713,-3.0559,-0.909675,-3.4874,-0.974475,-3.8229,-0.9905,-1.9648
113,0.00395,-0.8528,0.00765,-1.1229,-0.0148,-1.4182,-0.0276,-1.7302,-0.2764,-2.2845,-0.7697,-3.0571,-0.910075,-3.4868,-0.974075,-3.8199,-0.99005,-1.9633
114,0.004425,-0.8369,-0.0005,-1.1271,-0.01725,-1.414,-0.029825,-1.7643,-0.26635,-2.2612,-0.7706,-3.0728,-0.911175,-3.4805,-0.97275,-3.8144,-0.989025,-1.95915
115,0.009725,-0.8377,-0.007425,-1.1058,-0.01435,-1.4003,-0.028175,-1.7493,-0.2607,-2.2405,-0.765425,-3.0491,-0.91285,-3.4905,-0.971725,-3.8084,-0.9905,-1.9645
116,0.001575,-0.8688,-0.004725,-1.096,-0.016525,-1.4247,-0.026775,-1.7555,-0.260175,-2.2459,-0.766025,-3.0503,-0.91155,-3.4955,-0.973325,-3.8132,-0.989925,-1.9629
117,0.00095,-0.8428,-0.0048,-1.1229,-0.004,-1.4081,-0.022275,-1.7441,-0.25765,-2.2491,-0.766125,-3.0461,-0.914225,-3.5026,-0.973375,-3.8146,-0.9901,-1.9633
118,-0.0005,-0.8484,-0.003175,-1.1318,-0.00225,-1.4112,-0.021575,-1.7675,-0.249725,-2.2465,-0.772775,-3.0623,-0.91475,-3.5032,-0.972825,-3.8095,-0.9908,-1.96585
119,-0.0013,-0.8651,-0.00275,-1.1163,0.00125,-1.3995,-0.0109,-1.7554,-0.240925,-2.2524,-0.7691,-3.0463,-0.9128,-3.4967,-0.972075,-3.8076,-0.9907,-1.96535
120,0.000575,-0.8514,0.00305,-1.1072,-0.006525,-1.41,-0.01205,-1.7446,-0.244225,-2.2654,-0.7701,-3.0692,-0.912025,-3.4857,-0.974425,-3.8229,-0.9907,-1.9658
121,-0.0003,-0.8434,-0.00085,-1.1061,-0.0071,-1.4077,-0.006425,-1.7318,-0.240375,-2.2354,-0.764425,-3.0421,-0.9103,-3.4861,-0.973675,-3.8175,-0.991125,-1.9673
122,0.0008,-0.8626,-0.003925,-1.1027,-0.004,-1.3889,-0.0101,-1.7636,-0.242025,-2.2716,-0.763575,-3.0504,-0.909275,-3.4843,-0.972725,-3.8118,-0.990725,-1.96595
123,-0.00605,-0.8677,0.000325,-1.108,-0.00255,-1.3939,-0.013075,-1.7646,-0.237425,-2.2637,-0.76295,-3.0505,-0.911625,-3.4937,-0.97255,-3.8082,-0.990375,-1.9645
124,-0.0021,-0.8536,-0.00045,-1.1098,-0.004225,-1.4013,-0.01,-1.7494,-0.228425,-2.2512,-0.764475,-3.0542,-0.909325,-3.4875,-0.973025,-3.8142,-0.98975,-1.96155
